"","x"
"1","nog"
"2","epyc"
"3","thbs4"
"4","myh1"
"5","pi15"
"6","cav3.2"
"7","matn2"
"8","acod1"
"9","wif1"
"10","sncg"
"11","tf"
"12","slc26a4"
"13","krt14"
"14","pygb"
"15","matn4"
"16","steap4"
"17","tnni1.2"
"18","srl"
"19","chrna1"
"20","c1s"
"21","otos"
"22","epgn"
"23","qsox1"
"24","krt5.6"
"25","serpinf1"
"26","hmgcs1"
"27","tmprss2"
"28","arx"
"29","unc45b"
"30","itgbl1"
"31","nexn"
"32","tmem182"
"33","pdgfrl"
"34","myoz2"
"35","tmem163"
"36","ch25h"
"37","ppm1l"
"38","chrnb1"
"39","sypl2"
"40","cyp51a1"
"41","chrna1.2"
"42","tnnc1"
"43","dbndd1"
"44","angptl7"
"45","nphs2"
"46","dkk2"
"47","adipoq"
"48","hhatl"
"49","olfm4"
"50","tspan1"
"51","krt19"
"52","sult1a1"
"53","nell2"
"54","obsl1"
"55","cfl2"
"56","cox5b.2"
"57","trim55"
"58","hacd1"
"59","capn9"
"60","foxe1"
"61","krt15"
"62","cnmd"
"63","sftpb"
"64","casq2"
"65","nov"
"66","rasl11b"
"67","col8a1"
"68","upb1"
"69","flnc"
"70","cacna1s"
"71","a2m"
"72","des.1"
"73","hmgcr"
"74","dhcr24"
"75","art1"
"76","mef2c"
"77","palmd"
"78","ldlr"
"79","tmod4"
"80","cav1"
"81","itgb1bp2"
"82","cer1"
"83","hspb6"
"84","adssl1"
"85","mknk2"
"86","rhbg"
"87","bzw2"
"88","pcsk9"
"89","herc6"
"90","tgm2"
"91","cacng1"
"92","sc5d"
"93","plscr1"
"94","pgam2"
"95","slc25a12"
"96","kcnj2"
"97","pdk4"
"98","ptges3l"
"99","ocm.2"
"100","arhgef37"
"101","rbm24"
"102","smyd1"
"103","acss2.2"
"104","hivep1"
"105","ank1"
"106","clec3a"
"107","smtnl2"
"108","tnnt3"
"109","col9a2"
"110","znf238.2"
"111","tcap"
"112","scg2"
"113","myh8"
"114","asb5"
"115","f10"
"116","mustn1"
"117","trim72"
"118","fxyd6"
"119","c2orf40"
"120","rrad"
"121","ttyh1"
"122","otor"
"123","phkg1"
"124","cebpd"
"125","des.2"
"126","ptprt"
"127","trim63"
"128","ripk3"
"129","wfdc2"
"130","arg2"
"131","prom1"
"132","mybph"
"133","casq1"
"134","shisa2"
"135","capn3"
"136","nr4a1"
"137","upp2"
"138","ntn1"
"139","cpt1b"
"140","myh4"
"141","vgll2"
"142","wnt9a"
"143","actc1"
"144","nfib"
"145","pnrc2"
"146","ppp1r3c.1"
"147","trim54"
"148","snx31"
"149","myl1"
"150","atp2a1"
"151","cdkn1a"
"152","cfd"
"153","actn3"
"154","bnip3"
"155","ankh"
"156","chrne"
"157","mylpf"
"158","myh6"
"159","gjb7"
"160","sema3a"
"161","cavin1"
"162","abat"
"163","plcb4"
"164","fgf7"
"165","ggt1"
"166","mfsd6l"
"167","tnnc2"
"168","ptafr"
"169","mef2a"
"170","sfxn3"
"171","dpyd"
"172","lum"
"173","c17orf67"
"174","tdrd7"
"175","limch1"
"176","ifnlr1"
"177","klhl30"
"178","nat16"
"179","znf577"
"180","nxpe4"
"181","arrdc2"
"182","tnfaip3"
"183","cpxm2"
"184","ndrg2"
"185","chrnd"
"186","rapsn"
"187","mlf1"
"188","sh3bgr"
"189","gpx3"
"190","pdlim4"
"191","slc25a4"
"192","apobec2"
"193","cobl"
"194","plp1"
"195","prrg4"
"196","clec3b"
"197","sytl1"
"198","rab11fip1"
"199","nfkbia"
"200","klhl40"
"201","chchd10"
"202","klf9"
"203","fa2h"
"204","tesk1"
"205","lamb2"
"206","h1f0"
"207","zfp36"
"208","pdlim3"
"209","tnip1"
"210","tpm1"
"211","txnip"
"212","lyn"
"213","ache"
"214","hspb1"
"215","thnsl2"
"216","gamt"
"217","st3gal4"
"218","tnni1"
"219","bag3"
"220","ugcg"
"221","tspan7"
"222","csf3r"
"223","cxcl8"
"224","tmem38a"
"225","cyp46a1"
"226","adamts1"
"227","lgr4"
"228","dpp4"
"229","dpys"
"230","vegfd"
"231","as3mt.2"
"232","chrng"
"233","atf3"
"234","dio3"
"235","ddx17"
"236","srebf2"
"237","dcn"
"238","col9a1"
"239","xbp1"
"240","ttc39b"
"241","snap91"
"242","gpr84"
"243","ankrd1"
"244","prkag3"
"245","sytl4"
"246","bcl2l10"
"247","moap1"
"248","fgf8"
"249","fam189a2"
"250","tob2"
"251","gphn"
"252","tnip2"
"253","mfsd2a"
"254","cyp26c1"
"255","pfkm"
"256","ablim2"
"257","gck"
"258","btg2"
"259","clic6"
"260","hpgds"
"261","bmp4"
"262","dab2"
"263","tnf"
"264","tec"
"265","spon2"
"266","ednra"
"267","hivep2"
"268","ikbke"
"269","tmbim1"
"270","clu"
"271","rtn2"
"272","hsd17b11"
"273","prex1"
"274","sfrp2"
"275","ldb3"
"276","cebpb"
"277","kcnma1"
"278","tnni2"
"279","mst1r"
"280","gja4"
"281","chst6"
"282","egr1"
"283","mxra8"
"284","fgfbp1"
"285","slc44a4"
"286","klhl41"
"287","ppargc1a"
"288","egr2"
"289","hspb8"
"290","map1lc3a"
"291","met"
"292","lrtm1"
"293","slc7a3"
"294","ifit5"
"295","il17ra"
"296","adhfe1"
"297","acat1"
"298","myoz1"
"299","klhl24"
"300","gpd1"
"301","cxcl14"
"302","myh3"
"303","tuba8"
"304","eps8l1"
"305","tdh"
"306","insr"
"307","mgp"
"308","irx4"
"309","aqp1"
"310","gramd1c"
"311","stoml3"
"312","gldc"
"313","ybx3"
"314","birc2"
"315","actn2"
"316","entpd2"
"317","col9a3"
"318","dupd1"
"319","fam214a"
"320","fabp3"
"321","snta1"
"322","pde4b"
"323","sh3d21"
"324","slc40a1"
"325","cavin4"
"326","fxyd1"
"327","mpz"
"328","slc7a2.1"
"329","eef1a2"
"330","slc37a4"
"331","asrgl1"
"332","tll2"
"333","slc9a3r2"
"334","dtna"
"335","hunk"
"336","dapl1"
"337","atp12a"
"338","gale"
"339","idi1"
"340","selenop1"
"341","gja1"
"342","ddt"
"343","ckm"
"344","mybpc3"
