"","x"
"1","grem1"
"2","fgf20"
"3","ngfr"
"4","lhx1"
"5","ambp"
"6","foxa1"
"7","bgn"
"8","mmp21"
"9","crabp2"
"10","id3"
"11","sall3"
"12","mmp9"
"13","pmepa1"
"14","izumo1r"
"15","kcp"
"16","atp1a3"
"17","tdrp"
"18","sall4"
"19","angptl2"
"20","sall1"
"21","phgdh"
"22","ephb2"
"23","prdm1"
"24","snai1"
"25","sept6"
"26","tubb2b"
"27","hmox1"
"28","dkk3"
"29","tfpi2"
"30","kif2c"
"31","dpp3"
"32","rflnb"
"33","arsd"
"34","rarg"
"35","rcor2"
"36","xkr5"
"37","anpep"
"38","prickle1"
"39","sox11"
"40","itga4"
"41","lef1"
"42","dhfr"
"43","tgfbi"
"44","loc728026"
"45","elk3"
"46","msx1"
"47","slit1"
"48","hoxd11"
"49","has2"
"50","tgfb2"
"51","nrp1"
"52","naa40"
"53","mcm7"
"54","hells"
"55","donson"
"56","wnt6"
"57","krt5.2"
"58","tgfb1"
"59","hes1"
"60","ppp1r14b"
"61","ackr3"
"62","cd44"
"63","hoxc10"
"64","daw1"
"65","kmt2c"
"66","smc4"
"67","tnfaip6"
"68","mmp13"
"69","parp1"
"70","cbx1"
"71","fap"
"72","serpine2"
"73","runx1"
"74","aptx"
"75","ppp1r14a"
"76","prim2"
"77","smad9"
"78","nup210"
"79","dlx3"
"80","npm1"
"81","pole2"
"82","shcbp1"
"83","aplp1"
"84","bub1"
"85","cmtm7"
"86","fstl3"
"87","bambi"
"88","cenpl"
"89","haus1"
"90","fbln1"
"91","top2a"
"92","dll1"
"93","ror2"
"94","ppp1r3c.2"
"95","suv39h1"
"96","cdc25c"
"97","bdnf"
"98","hist2h2ab"
"99","snai2"
"100","fscn1"
"101","smarca5"
"102","plk1"
"103","ribc2"
"104","bub1b"
"105","tcf7"
"106","haus6"
"107","serpinh1"
"108","ezh2"
"109","pclaf"
"110","fancd2"
"111","hs2st1"
"112","parpbp"
"113","cdc45"
"114","tbxt"
"115","ier5l"
"116","twist1"
"117","srsf6"
"118","aif1l"
"119","mmp11"
"120","dbn1"
"121","arhgap11a.1"
"122","ccnb1.2"
"123","mcm2"
"124","ung"
"125","rbbp4"
"126","gins3"
"127","chst13"
"128","birc5.2"
"129","slbp"
"130","dck.2"
"131","nup35"
"132","tacc3"
"133","prmt1"
"134","f7"
"135","chn1"
"136","cetn3"
"137","pcna"
"138","ncapg"
"139","mcm4"
"140","tmem107"
"141","smarca4"
"142","smad4.2"
"143","chaf1a"
"144","aurkb"
"145","pop5"
"146","tmem26"
"147","adam33"
"148","ncapd2"
"149","gtse1"
"150","lsp1"
"151","akr1c8p"
"152","rsph9"
"153","tpm4"
"154","rad54b"
"155","aurka"
"156","tyms"
"157","dkk1"
"158","rcc2"
"159","rcc1"
"160","chaf1b"
"161","dok4"
"162","cdc20"
"163","tgif1"
"164","c19orf44"
"165","npm3"
"166","sult1c2"
"167","prtfdc1"
"168","prmt5"
"169","hmga2"
"170","rnaseh2c"
"171","blm"
"172","pthlh"
"173","wnt5b"
"174","trip13"
"175","cdca5"
"176","fen1"
"177","nphs1"
"178","cenpe"
"179","dlgap5"
"180","vcan"
"181","racgap1"
"182","cnpy2"
"183","snrpd1"
"184","sdc3"
"185","dctpp1"
"186","hoxd10"
"187","cdk2"
"188","kpna2"
"189","smarcd1"
"190","lrr1"
"191","snrpg"
"192","ncaph"
"193","ect2"
"194","lyar"
"195","ruvbl1"
"196","snu13"
"197","actl6a"
"198","fkbp10"
"199","smad6"
"200","iqca1"
"201","mmp25"
