"","x"
"1","tnni2"
"2","ocm.2"
"3","ocm"
"4","prkag3"
"5","ldb3"
"6","myh8"
"7","myh1"
"8","actn3"
"9","mylpf"
"10","casq2"
"11","obsl1"
"12","atp2a1"
"13","tnnt3"
"14","tpm1"
"15","trim55"
"16","myh4"
"17","tmod4"
"18","chrng"
"19","dupd1"
"20","myl1"
"21","ankrd2"
"22","klhl30"
"23","thbs4"
"24","myf6"
"25","myoz2"
"26","hhatl"
"27","cobl"
"28","sh3bgr"
"29","tnnc1"
"30","trim54"
"31","pvalb.2"
"32","nat16"
"33","sypl2"
"34","asb12.2"
"35","tnnc2"
"36","chrnb1"
"37","fetub"
"38","myog"
"39","myadml2"
"40","srl"
"41","pygb"
"42","mybpc3"
"43","chrnd"
"44","ckb"
"45","vgll2"
"46","phkg1"
"47","pdlim3"
"48","tm6sf1"
"49","arx"
"50","slc32a1"
"51","ckm"
"52","klhl40"
"53","mef2a"
"54","chrna1.2"
"55","nexn"
"56","hspb7"
"57","des.1"
"58","lrtm1"
"59","musk"
"60","ndrg1"
"61","aldoc"
"62","trim72"
"63","rapsn"
"64","actc1"
"65","eno1"
"66","unc45b"
"67","dpys"
"68","tpm2"
"69","pgam2"
"70","hspb8"
"71","mybph"
"72","atp1a3"
"73","ank1"
"74","pcdh8"
"75","klhl41"
"76","chrne"
"77","cfl2"
"78","tcea3"
"79","tyrp1"
"80","synpo2"
"81","casq1"
"82","slc1a3"
"83","matn2"
"84","sfrp2"
"85","tmem182"
"86","cadm3"
"87","nkain4"
"88","cacng1"
"89","chrna1"
"90","apobec2"
"91","cav3.2"
"92","hrg"
"93","snap91"
"94","gap43"
"95","frmd5"
"96","ldha"
"97","anxa6"
"98","six1"
"99","nefm"
"100","bin1"
"101","smpd3"
"102","tgm2"
"103","wnt11"
"104","ybx3"
"105","cavin4"
"106","tspan18"
"107","epb41l3"
"108","adam11"
"109","dbx1"
"110","hacd1"
"111","fxyd6"
"112","flnc"
"113","rtn2"
"114","ptges3l"
"115","l1cam"
"116","bag3"
"117","cav1"
"118","itgb1bp2"
"119","cap2"
"120","nkx3-1"
"121","fgf13"
"122","sncg"
"123","pygm"
"124","smyd1"
"125","foxd2"
"126","shisa2"
"127","cbfa2t3"
"128","cntn1"
"129","lhx3"
"130","galnt16"
"131","inf2"
"132","dct"
"133","serpine1"
"134","angptl7"
"135","lrrn1"
"136","adam19"
"137","nell2"
"138","syt4"
"139","adipoq"
"140","clstn3"
"141","nr2f2"
"142","homer2"
"143","stx1b"
"144","coro2b"
"145","cav2"
"146","spon2"
"147","tubb3"
"148","ckmt1b"
"149","cnmd"
"150","c6.2"
"151","slc2a4"
"152","fbxl22"
"153","tmem38a"
"154","elavl4"
"155","vamp2"
"156","sh2d3c"
"157","filip1"
"158","syp"
"159","stxbp1"
"160","cplx1"
"161","gngt1"
"162","cacna1s"
"163","trpc1"
"164","amph"
"165","celf3"
"166","tubb6"
"167","atp2b4"
"168","kank2"
"169","ywhag"
"170","trim63"
"171","ntn1"
"172","stmn3"
"173","tmem161a"
"174","hnf4a"
"175","gad1.1"
"176","c17orf67"
"177","matn4"
"178","col9a1"
"179","sez6l2"
"180","ntrk2"
"181","crmp1"
"182","olfm1"
"183","tyr"
"184","scn1a"
"185","otos"
"186","nkx6-2"
"187","pax9"
"188","emp3"
"189","ripply2.1"
"190","prdm12"
"191","col2a1"
"192","nrcam"
"193","elavl3"
"194","slc16a3"
"195","homer1"
"196","celf2"
"197","prkag1"
"198","ehd2"
"199","cntfr"
"200","ebf2"
"201","pzp"
"202","syne1"
"203","znf577"
"204","nkx6-1"
"205","slc25a12"
"206","pmp22"
