"","x"
"1","cyp26c1"
"2","slc34a2"
"3","msgn1"
"4","evx1"
"5","fgf3"
"6","fgf20"
"7","clic6"
"8","apcdd1"
"9","tbxt"
"10","cyp26a1"
"11","fgf7"
"12","azin2"
"13","hoxa13"
"14","dlx2"
"15","lrat"
"16","fgf8"
"17","foxd4l1.1"
"18","scd"
"19","cib2"
"20","krt16"
"21","tnip2"
"22","arhgef37"
"23","etv4"
"24","krt24"
"25","gcm2"
"26","ptgs2"
"27","fam167b"
"28","kctd14"
"29","tll1"
"30","epgn"
"31","ppp1r14a"
"32","rasgef1a"
"33","tf"
"34","lacc1"
"35","hhipl2"
"36","phgdh"
"37","kif21a"
"38","irs4"
"39","baiap2l1"
"40","dck.1"
"41","st3gal2.2"
"42","vgll1"
"43","bambi"
"44","stoml3"
"45","cep170b"
"46","tnfsf10"
"47","scin"
"48","prdm1"
"49","sp8"
"50","nipal4"
"51","ngf"
"52","arhgap9"
"53","bmp4"
"54","tprg1"
"55","dkk2"
"56","dio3"
"57","hes7.2"
"58","cdx4"
"59","rgs3"
"60","cdx2"
"61","rarg"
"62","tbx6"
"63","srsf6"
"64","kremen1"
"65","wnt3a"
"66","epha2"
"67","fgf4"
"68","dhrs3"
"69","cdh3"
"70","cdc42se1"
"71","emx2"
"72","rab11fip1"
"73","cbln1"
"74","hoxd1"
"75","tll2"
"76","ngfr"
"77","sh3d21"
"78","dkk1"
"79","ect2"
"80","wnt5b"
"81","fam213a"
"82","bmp7.1"
"83","ets2"
"84","acsl4"
"85","eomes"
"86","ass1"
"87","fgf10"
"88","rcbtb1"
"89","dlx5"
"90","clic3"
"91","nuak2"
"92","eif1"
"93","sall3"
"94","ppl"
"95","nceh1"
"96","sp7"
"97","cyb5r2"
"98","smad6"
"99","jag1"
"100","mmp11"
"101","tmem184b"
"102","tdrp"
"103","il1b"
"104","msx2"
"105","irf6"
"106","crabp2"
"107","sall1"
"108","iqgap2"
"109","upk3a"
"110","slc6a14.2"
"111","slc5a8"
"112","phlda2"
"113","fam162a"
"114","dusp6"
"115","hip1r"
"116","mkrn3"
"117","spry2"
"118","scel"
"119","sgpp2"
"120","mpzl2"
"121","slc18a1"
"122","lima1"
"123","pla2g4a"
"124","spry1"
"125","lbr"
