"","x"
"1","c2orf70"
"2","otx2"
"3","smpx"
"4","ppp1r36"
"5","ppp1r32"
"6","tm4sf18"
"7","lrrc18"
"8","ak1"
"9","efhc1"
"10","tekt4"
"11","dcdc2b"
"12","bbof1"
"13","dynlrb2"
"14","spaca9"
"15","hal.2"
"16","pga4"
"17","insrr"
"18","nkx2-3"
"19","akr1c8p"
"20","irx2"
"21","cfap52"
"22","catip"
"23","cfap70"
"24","ptpn6"
"25","hmx2"
"26","ak7"
"27","pck1"
"28","atp6v0d2"
"29","tekt2"
"30","spag6"
"31","saxo2"
"32","dcdc2"
"33","rsph1"
"34","tuba1a"
"35","spata18"
"36","c1orf158"
"37","morn3"
"38","ccdc63"
"39","hrg"
"40","tepp"
"41","iqcd"
"42","armc4"
"43","tex26"
"44","cfap126"
"45","aldh1a1"
"46","ttc29"
"47","cdkl2"
"48","tekt3"
"49","fgfbp2"
"50","nme9"
"51","odf3"
"52","cyp2j2"
"53","clcnkb"
"54","cfap161"
"55","ankef1"
"56","selenop1"
"57","c2orf73"
"58","kit"
"59","slc26a4"
"60","lrrc34"
"61","dnali1"
"62","dnal1"
"63","spa17"
"64","lexm"
"65","cfap45"
"66","enkur"
"67","meig1"
"68","rsph3"
"69","stkld1"
"70","tekt1"
"71","ppil6"
"72","dnai1"
"73","slc7a2.1"
"74","dnajb13"
"75","atp6v0a4"
"76","foxj1.2"
"77","ubp1"
"78","bnipl"
"79","dnah9"
"80","pitx1"
"81","blnk"
"82","sox7"
"83","otx1"
"84","irx4"
"85","dstn"
"86","wdr78"
"87","etnppl"
"88","hspb7"
"89","gckr"
"90","ccdc78"
"91","atp6v1g3"
"92","asb9"
"93","adal"
"94","map2"
"95","fam166b"
"96","adprh"
"97","aadac"
"98","rsph9"
"99","cndp2"
"100","stard9"
"101","mab21l3"
"102","ca12"
"103","tctex1d1"
"104","tbc1d24.2"
"105","col6a1"
"106","aaed1"
"107","elovl2"
"108","cyp2f1"
"109","as3mt.2"
"110","irx1"
"111","slc16a3"
"112","b4galnt1"
"113","hmx3"
"114","serpinb4"
"115","cyp17a1"
"116","il13ra2"
"117","fgl1"
"118","cyp2c8.2"
"119","nme5"
"120","gata1"
