"","x"
"1","hoxc10"
"2","cdx4"
"3","sox10"
"4","krt18"
"5","hoxa9"
"6","hoxd11"
"7","hoxd3"
"8","wnt5b"
"9","hoxd10"
"10","hoxd4"
"11","hoxc9"
"12","hoxc12"
"13","itga4"
"14","grem1"
"15","hoxa7"
"16","zeb2"
"17","has2"
"18","meox2"
"19","tbxt"
"20","vwde"
"21","tyr"
"22","tubb3"
"23","rspo2"
"24","zic2"
"25","foxd4l1.1"
"26","hes7.2"
"27","npr3"
"28","fgf7"
"29","hoxa11"
"30","msgn1"
"31","sall1"
"32","hoxd8"
"33","fbln1"
"34","hoxd9"
"35","nrp1"
"36","zeb1"
"37","fgf8"
"38","pdgfra"
"39","zic3"
"40","foxd3"
"41","gdf10"
"42","lmo2"
"43","fgf3"
"44","vcan"
"45","tmeff1"
"46","nid2"
"47","slc45a2"
"48","wnt11"
"49","foxb1"
"50","slc2a9"
"51","mst1"
"52","hoxa10"
"53","cdx1"
"54","cdh2"
"55","hoxd1"
"56","ppp1r9b"
"57","adam11"
"58","evx1"
"59","penk"
"60","mmp25"
"61","tcf15"
"62","hoxb6"
"63","sall3"
"64","sox8"
"65","tfap2e"
"66","vim"
"67","zic5"
"68","slit1"
"69","zic1"
"70","wnt8a"
"71","cntfr"
"72","cdx2"
"73","sh3bgrl"
"74","mfap2"
"75","epha4"
"76","ncam1"
"77","hoxb3"
"78","myf5"
"79","phlda1"
"80","prickle1"
"81","tnc"
"82","cnfn.1"
"83","fabp3"
"84","foxc2"
"85","akap12"
"86","pax3"
"87","fst"
"88","elavl3"
"89","hs3st3a1"
"90","tyrp1"
"91","foxc1"
"92","c7"
"93","cyp26c1"
"94","actc1"
"95","rab38"
"96","fam167b"
"97","c1orf216"
"98","zic4"
"99","fam171a1"
"100","emilin2"
"101","hoxb5"
"102","hoxc6"
"103","hes5.2"
"104","syt4"
"105","gatm"
"106","clic6"
"107","hoxc8"
"108","ptgds"
"109","prdm1"
"110","cyp26a1"
"111","fscn1"
"112","myh10"
"113","lrig3"
"114","f2r"
"115","cdh11"
"116","marcks"
"117","crabp2"
"118","krt16"
"119","cntn1"
"120","ngfr"
"121","st8sia1"
"122","tll1"
"123","atp1a3"
"124","smoc1"
"125","cacna1h"
"126","kcnj8"
"127","itgb1bp2"
"128","fgf10"
"129","hes5.1"
"130","myod1"
"131","mycn"
"132","hnf1b"
"133","bicc1"
"134","ism1"
"135","fn1"
"136","tlx3"
"137","robo2"
"138","hes6.1"
"139","tuba1b"
"140","kank2"
"141","syp"
"142","gli1"
"143","hoxa3"
"144","tbx6"
"145","gsta4"
"146","nme3"
"147","hoxb7"
"148","hoxc5"
"149","tll2"
"150","syngr1"
"151","palm"
"152","kazald1"
"153","fgf2"
"154","flrt3"
"155","cpn1"
"156","lpar1"
"157","sox2"
"158","mmp11"
"159","slc34a2"
"160","mttp.2"
"161","cldn5"
"162","atp2a1"
"163","six1"
"164","scnn1g"
"165","wif1"
"166","rcor2"
"167","emp1"
"168","tnnc1"
"169","chn1"
"170","mitf"
"171","fgf13"
"172","fzd7"
"173","plxnb1"
"174","elavl4"
