"","x"
"1","cyp26c1"
"2","slc34a2"
"3","msgn1"
"4","evx1"
"5","fgf3"
"6","fgf20"
"7","clic6"
"8","apcdd1"
"9","tbxt"
"10","cyp26a1"
"11","fgf7"
"12","azin2"
"13","hoxa13"
"14","lrat"
"15","fgf8"
"16","foxd4l1.1"
"17","scd"
"18","cib2"
"19","krt16"
"20","tnip2"
"21","etv4"
"22","krt24"
"23","gcm2"
"24","ptgs2"
"25","fam167b"
"26","tll1"
"27","tf"
"28","hhipl2"
"29","phgdh"
"30","kif21a"
"31","dck.1"
"32","st3gal2.2"
"33","vgll1"
"34","tnfsf10"
"35","prdm1"
"36","sp8"
"37","dkk2"
"38","hes7.2"
"39","cdx4"
"40","rgs3"
"41","cdx2"
"42","rarg"
"43","tbx6"
"44","srsf6"
"45","kremen1"
"46","wnt3a"
"47","epha2"
"48","fgf4"
"49","cdh3"
"50","hoxd1"
"51","tll2"
"52","ngfr"
"53","dkk1"
"54","wnt5b"
"55","ets2"
"56","eomes"
"57","fgf10"
"58","rcbtb1"
"59","nuak2"
"60","eif1"
"61","sall3"
"62","nceh1"
"63","cyb5r2"
"64","jag1"
"65","mmp11"
"66","tmem184b"
"67","il1b"
"68","crabp2"
"69","sall1"
"70","iqgap2"
"71","slc6a14.2"
"72","slc5a8"
"73","phlda2"
"74","dusp6"
"75","mkrn3"
"76","spry2"
"77","spry1"
"78","lbr"
