"","x"
"1","tnni2"
"2","casq2"
"3","ankrd2"
"4","pdlim3"
"5","mef2a"
"6","hspb7"
"7","ndrg1"
"8","ank1"
"9","sfrp2"
"10","hrg"
"11","cav1"
"12","homer2"
"13","cav2"
"14","slc2a4"
"15","slc16a3"
"16","prkag1"
"17","syne1"
"18","prkab2"
"19","irx5"
"20","entpd3"
"21","eepd1"
"22","adhfe1"
"23","fgfbp1"
"24","gapdh"
"25","cpt1b"
"26","jund"
"27","atp6v0a4"
"28","clcnkb"
"29","ogn"
"30","ppargc1a"
"31","atp6v1g3"
"32","atp6v1b1"
"33","cdkn1a"
"34","fgfbp2"
"35","agmat"
"36","pkdcc.1"
"37","ca12"
"38","fzd4"
"39","fam83a"
"40","irf1"
"41","col6a1"
"42","isl1"
"43","insrr"
"44","ubp1"
"45","chchd10"
"46","irx1"
"47","mafb"
"48","tbc1d24.2"
"49","ndrg3"
"50","hao1"
"51","ush1c"
"52","slc26a4"
"53","foxi1"
"54","mcrip2"
"55","wnt9b.2"
"56","meis1"
"57","pacsin3"
"58","gckr"
"59","tmem72"
"60","uroc1"
"61","sfxn3"
"62","atp6ap1.1"
"63","nt5c3a"
"64","palmd"
"65","dmrt2"
"66","slc13a3"
"67","lgr5"
"68","meis3"
"69","col6a2"
"70","ces2"
"71","meis2"
"72","aadac"
"73","mxi1"
"74","atp6v0d2"
"75","mab21l3"
"76","adcy9"
"77","wnt9a"
"78","aldh1a1"
"79","apoe"
"80","ddc"
"81","pou3f1"
"82","ca2"
"83","adprh"
"84","cystm1"
"85","lipg"
"86","sybu"
"87","selenop1"
"88","enpp2"
"89","tdh"
"90","serpinc1"
"91","mamdc2"
"92","gfi1b"
"93","tbx3"
"94","pam"
"95","kcna5"
"96","kcna3"
"97","nr6a1"
"98","uaca"
"99","pcdh20"
"100","gjb2"
"101","gyg2"
"102","trim3"
"103","klf15"
"104","epb41l4a"
"105","rdh11"
"106","qsox1"
"107","ndp"
"108","hoxa1"
"109","prr7"
"110","map2"
"111","got1"
"112","ddt"
"113","ak1"
"114","sgtb"
"115","ppp1r1c"
"116","aldob"
"117","pitx1"
"118","slc7a2.1"
"119","vsnl1"
"120","stat5b"
"121","fam214a"
"122","acy1.1"
"123","hpd"
"124","atp12a"
"125","c11orf96"
"126","hmx3"
"127","arrb1"
"128","foxp1"
"129","upb1"
