"","x"
"1","ocm"
"2","mylpf"
"3","atp2a1"
"4","tnnt3"
"5","chrng"
"6","myl1"
"7","thbs4"
"8","tnnc1"
"9","trim54"
"10","pvalb.2"
"11","tnnc2"
"12","chrnb1"
"13","srl"
"14","chrnd"
"15","ckb"
"16","vgll2"
"17","ckm"
"18","chrna1.2"
"19","des.1"
"20","trim72"
"21","actc1"
"22","unc45b"
"23","mybph"
"24","atp1a3"
"25","klhl41"
"26","tyrp1"
"27","casq1"
"28","slc1a3"
"29","cadm3"
"30","nkain4"
"31","cacng1"
"32","snap91"
"33","anxa6"
"34","six1"
"35","nefm"
"36","smpd3"
"37","tgm2"
"38","wnt11"
"39","cavin4"
"40","tspan18"
"41","adam11"
"42","hacd1"
"43","flnc"
"44","l1cam"
"45","itgb1bp2"
"46","fgf13"
"47","sncg"
"48","cbfa2t3"
"49","cntn1"
"50","dct"
"51","lrrn1"
"52","nell2"
"53","syt4"
"54","clstn3"
"55","stx1b"
"56","tubb3"
"57","cnmd"
"58","fbxl22"
"59","elavl4"
"60","vamp2"
"61","sh2d3c"
"62","syp"
"63","stxbp1"
"64","cplx1"
"65","amph"
"66","celf3"
"67","atp2b4"
"68","kank2"
"69","ywhag"
"70","trim63"
"71","stmn3"
"72","matn4"
"73","sez6l2"
"74","ntrk2"
"75","crmp1"
"76","olfm1"
"77","tyr"
"78","scn1a"
"79","emp3"
"80","col2a1"
"81","elavl3"
"82","cntfr"
"83","pmp22"
"84","kcna1"
"85","col9a2"
"86","nptx1"
"87","cnrip1"
"88","garem2"
"89","cntn4"
"90","slc45a2"
"91","stmn2"
"92","mef2c"
"93","myod1"
"94","rbm24"
"95","igfbpl1"
"96","parp6"
"97","zic4"
"98","cd44"
"99","edn3"
"100","tmem178.2"
"101","foxd3"
"102","tnni1.2"
"103","rbfox3"
"104","slc17a7"
"105","syt11"
"106","nrn1"
"107","zic1"
"108","svop"
"109","rdh10"
"110","rab6b"
"111","gatm"
"112","gypc"
"113","twist1"
"114","nes"
"115","kcnma1"
"116","plcd4"
"117","f2"
"118","pea15"
"119","snap25"
"120","krt15"
"121","vim"
"122","ctgf"
"123","sox18"
"124","apba2"
"125","sox17a"
"126","ttyh1"
"127","pcolce2"
"128","gng2"
"129","dpysl2"
"130","penk"
"131","cyyr1"
"132","clvs1"
"133","ptch2"
"134","neurod4"
"135","cdh20"
"136","scg2"
"137","dbndd1"
"138","scube2"
"139","phactr1"
"140","rab38"
"141","pcdhga3"
"142","mxra7"
"143","nova2"
"144","pced1a"
"145","hao2"
"146","kcnab3"
"147","loxl2"
"148","col5a1"
"149","tlx3"
"150","ebf3"
"151","trim36"
"152","tgfb2"
"153","myo10.2"
"154","nhlh1"
"155","ppp1r9b"
"156","serpinb1"
"157","atp6v0e2"
"158","cuedc1"
"159","hes5.2"
"160","scg5"
"161","etv2"
"162","galnt13"
"163","crim1"
"164","slc2a9"
"165","abhd3"
"166","havcr1"
"167","tmem86a"
"168","ncam1"
"169","scn4b"
"170","pmel"
"171","ssbp4"
"172","ptch1"
"173","wif1"
"174","enah"
"175","cdh11"
"176","ccdc28b"
"177","sox1"
"178","ndnf"
"179","ednrb"
"180","gria4"
"181","akap2"
"182","nptxr"
"183","tgfb1i1"
"184","cfh"
"185","has2"
"186","a2ml1"
"187","dbn1"
"188","negr1"
"189","col3a1"
"190","rab33a"
"191","tubb2b"
"192","pax3"
"193","pacs2"
"194","tuba1b"
"195","nova1"
"196","vcan"
"197","itgbl1"
"198","fst"
"199","neurog2"
"200","unc93a"
"201","fam57b"
"202","parvb"
"203","egln3"
"204","blvra"
"205","pax2"
"206","pak3"
"207","c17orf58"
"208","sox5"
"209","tac1"
"210","prelid3a"
"211","app"
"212","tmtc2"
"213","cdh2"
"214","map3k12"
"215","flrt3"
"216","tmem221"
"217","marcksl1"
"218","gprc5c"
"219","vegfa"
"220","tgfbi"
"221","amer2"
"222","palm"
"223","pdgfa"
"224","tmem47"
"225","ets1"
"226","pabpc4"
"227","cdon"
"228","mapre2"
"229","coq8a"
"230","hapln3"
"231","scg3"
"232","loxl1"
"233","fermt2"
"234","ptprd"
"235","btbd6"
"236","tmem169"
"237","spock2"
"238","mrps2"
"239","st3gal3"
