"","x"
"1","selenop1"
"2","slc26a4"
"3","slc7a2.1"
"4","irx4"
"5","as3mt.2"
"6","tspan1"
"7","snx31"
"8","fgfbp1"
"9","cpt1b"
"10","adhfe1"
"11","sfrp2"
"12","tmbim1"
"13","c2orf40"
"14","wnt9a"
"15","ddt"
"16","sytl4"
"17","slc40a1"
"18","cox5b.2"
"19","steap4"
"20","atp12a"
"21","tmprss2"
"22","ppargc1a"
"23","nxpe4"
"24","ndrg2"
"25","lum"
"26","tnni2"
"27","fa2h"
"28","cav1"
"29","klhl24"
"30","cdkn1a"
"31","qsox1"
"32","plcb4"
"33","cyp46a1"
"34","acat1"
"35","herc6"
"36","casq2"
"37","lyn"
"38","sfxn3"
"39","tdh"
"40","h1f0"
"41","mef2a"
"42","eps8l1"
"43","chchd10"
"44","gramd1c"
"45","met"
"46","capn9"
"47","ank1"
"48","f10"
"49","mfsd6l"
"50","dhcr24"
"51","palmd"
"52","upb1"
"53","il17ra"
"54","tob2"
"55","ifit5"
"56","gjb7"
"57","fam214a"
"58","wfdc2"
"59","hivep2"
"60","prrg4"
"61","klf9"
"62","mst1r"
"63","st3gal4"
"64","sytl1"
"65","pdlim3"
"66","zfp36"
"67","epgn"
"68","tnfaip3"
"69","ednra"
"70","ttc39b"
"71","tdrd7"
