"","x"
"1","fgf7"
"2","fgf8"
"3","fabp3"
"4","cyp26c1"
"5","actc1"
"6","clic6"
"7","itgb1bp2"
"8","tll2"
"9","atp2a1"
"10","wif1"
"11","tnnc1"
"12","tf"
"13","cacng1"
"14","cavin4"
"15","adamts1"
"16","ch25h"
"17","flnc"
"18","dbndd1"
"19","entpd2"
"20","nell2"
"21","ttyh1"
"22","nog"
"23","thbs4"
"24","chrna1.2"
"25","cxcl8"
"26","rrad"
"27","klhl41"
"28","trim54"
"29","sema3a"
"30","dkk2"
"31","tgm2"
"32","kcnma1"
"33","snap91"
"34","des.1"
"35","srl"
"36","chrnb1"
"37","matn4"
"38","olfm4"
"39","krt15"
"40","ptprt"
"41","upp2"
"42","nov"
"43","trim63"
"44","mylpf"
"45","prex1"
"46","cnmd"
"47","casq1"
"48","chrnd"
"49","sncg"
"50","vgll2"
"51","tnip2"
"52","myl1"
"53","itgbl1"
"54","mxra8"
"55","scg2"
"56","tnnc2"
"57","unc45b"
"58","mybph"
"59","hacd1"
"60","mfsd2a"
"61","chrng"
"62","smtnl2"
"63","trim72"
"64","serpinf1"
"65","tnnt3"
"66","rbm24"
"67","plscr1"
"68","mef2c"
"69","ckm"
"70","pdlim4"
"71","tnni1"
"72","tnni1.2"
"73","cebpd"
"74","col9a2"
"75","pfkm"
"76","egr1"
