"","x"
"1","hsp90aa1.1"
"2","slc25a30"
"3","hacd4"
"4","tpt1"
"5","itln1"
"6","msgn1"
"7","or6c4"
"8","nog"
"9","smagp"
"10","faah.1"
"11","igkv1or2-118"
"12","sla2"
"13","pygb"
"14","krt14"
"15","myh4"
"16","nphs2"
"17","srl"
"18","slc26a1"
"19","acta1"
"20","matn2"
"21","otos"
"22","des.2"
"23","myh8"
"24","sncg"
"25","thbs4"
"26","fbxl22"
"27","myh1"
"28","epyc"
"29","hhatl"
"30","tf"
"31","aldh3b1"
"32","tmem72"
"33","hes5.2"
"34","pi15"
"35","myoz1"
"36","cav3.2"
"37","ppargc1a"
"38","atp2a1"
"39","tnnc1"
"40","clec3a"
"41","acod1"
"42","hbg2"
"43","htr4"
"44","hacd1"
"45","steap4"
"46","dkk2"
"47","lgals9"
"48","dupd1"
"49","pgam2"
"50","mybph"
"51","cpt1b"
"52","penk"
"53","nts"
"54","trim55"
"55","wnt9a"
"56","hsd11b1l"
"57","itgb1bp2"
"58","myh6"
"59","dpys"
"60","acat2"
"61","arx"
"62","snx31"
"63","tnnt3"
"64","tcap"
"65","actc1"
"66","matn4"
"67","capn3"
"68","slc4a10"
"69","ret"
"70","cyp26c1"
"71","art1"
"72","klhl30"
"73","trim63"
"74","nexn"
"75","obsl1"
"76","tmem182"
"77","slc25a4"
"78","tmod4"
"79","myl1"
"80","unc45b"
"81","slc26a4"
"82","ptges3l"
"83","wif1"
"84","actn3"
"85","mylpf"
"86","tnni1.2"
"87","phkg1"
"88","tnni2"
"89","chrna1"
"90","myoz2"
"91","chrnb1"
"92","ntrk2"
"93","mustn1"
"94","krt5.6"
"95","des.1"
"96","klhl41"
"97","dbndd1"
"98","myh3"
"99","sh3bgr"
"100","shisa2"
"101","qsox1"
"102","ocm.2"
"103","igkv3-20"
"104","ptprt"
"105","tmprss2"
"106","chrng"
"107","pitx3"
"108","cyp51a1"
"109","c1s"
"110","ckm"
"111","bmp3"
"112","pvalb.2"
"113","eno3"
"114","hspb1"
"115","adssl1"
"116","hmgcs1"
"117","mef2c"
"118","tnnc2"
"119","asb5"
"120","adipoq"
"121","cox5b.2"
"122","tmem38a"
"123","lrtm1"
"124","snap91"
"125","trim72"
"126","cdhr1"
"127","pdgfrl"
"128","epgn"
"129","prkag3"
"130","ifit5"
"131","sypl2"
"132","chrna1.2"
"133","nxpe4"
"134","ppm1l"
"135","chrne"
"136","trim54"
"137","casq2"
"138","nfia"
"139","serpinf1"
"140","sh3gl3"
"141","cavin4"
"142","egr2"
"143","itgbl1"
"144","tmem163"
"145","sult1a1"
"146","nell2"
"147","ch25h"
"148","apobec2"
"149","clic6"
"150","znf577"
"151","fgf7"
"152","foxe1"
"153","cacna1s"
"154","upb1"
"155","hspb8"
"156","slc25a12"
"157","pdk4"
"158","hspb6"
"159","mlf1"
"160","plcb4"
"161","nat16"
"162","scg2"
"163","cacng1"
"164","cer1"
"165","scn4b"
"166","bag3"
"167","flnc"
"168","herc6"
"169","ldb3"
"170","pcsk9"
"171","ablim2"
"172","cobl"
"173","angptl7"
"174","olfm4"
"175","ccl5"
"176","alox12b"
"177","ybx3"
"178","znf238.2"
"179","rhbg"
"180","dhcr24"
"181","fgf8"
"182","cdkn1a"
"183","ak1"
"184","rbm24"
"185","sftpb"
"186","mfsd6l"
"187","kcnj2"
