"","x"
"1","mynn"
"2","mnd1"
"3","fgr"
"4","gc"
"5","krt24"
"6","mrpl4"
"7","fgf20"
"8","mmp21"
"9","lhx1"
"10","ubl4a"
"11","grem1"
"12","nphs1"
"13","ambp"
"14","foxa1"
"15","sox14"
"16","ngfr"
"17","izumo1r"
"18","sall3"
"19","mmp9"
"20","kirrel2"
"21","bgn"
"22","trh"
"23","crabp2"
"24","asic4"
"25","id3"
"26","pmepa1"
"27","wnt6"
"28","sept6"
"29","tcf7"
"30","tdrp"
"31","atp1a3"
"32","sall4"
"33","c9orf3"
"34","ephb2"
"35","asf1a"
"36","kcp"
"37","eya1"
"38","phgdh"
"39","rcor2"
"40","depdc1"
"41","hmga2"
"42","dkk3"
"43","cmtm7"
"44","arsd"
"45","xkr5"
"46","bdnf"
"47","sall1"
"48","poc1a"
"49","angptl2"
"50","itga4"
"51","dpp3"
"52","aif1l"
"53","ppp1r42"
"54","dnaaf3"
"55","parpbp"
"56","cacna1c"
