"","x"
"1","lrtm1"
"2","trafd1"
"3","myoz2"
"4","prkag3"
"5","myh4"
"6","pgam2"
"7","myl2"
"8","musk"
"9","myh1"
"10","ocm.2"
"11","myh8"
"12","apoh"
"13","tnnc2"
"14","neurod1"
"15","tnni2"
"16","myadml2"
"17","dupd1"
"18","ocm"
"19","sh3bgr"
"20","rln3"
"21","atp2a1"
"22","myog"
"23","myf6"
"24","gabbr2"
"25","cavin4"
"26","hspb8"
"27","ldb3"
"28","slc32a1"
"29","hhatl"
"30","crhr1.2"
"31","phkg1"
"32","kcnc1"
"33","mybpc3"
"34","klhl30"
"35","obsl1"
"36","dpys"
"37","dbx2"
"38","slc1a3"
"39","trim55"
"40","arx"
"41","cobl"
"42","actn3"
"43","casq2"
"44","fxyd6"
"45","hmx3"
"46","mylpf"
"47","pygb"
"48","chrna1"
"49","tmod4"
"50","tpm1"
"51","ank1"
"52","srl"
"53","tnnt3"
"54","vsx1"
"55","synpo2"
"56","tmem182"
"57","des.1"
"58","pvalb.2"
"59","hspb7"
"60","gad1.1"
"61","snap25"
"62","hrg"
"63","adam19"
"64","tmem38a"
"65","chrng"
"66","trim54"
"67","cadm3"
"68","ankrd2"
"69","kcna2"
"70","vip"
"71","myl1"
"72","dbx1"
"73","thbs4"
"74","b3galt2"
"75","sult4a1"
"76","ablim2"
"77","tnnc1"
"78","stx1b"
"79","snap91"
"80","ckm"
"81","cntn1"
"82","b3gat1"
"83","c17orf67"
"84","lbx1"
"85","nat16"
"86","fetub"
"87","adipoq"
"88","ldha"
"89","gap43"
"90","asb12.2"
"91","entpd8"
"92","chrnb1"
"93","znf577"
"94","ppp2r3a"
"95","pdx1"
"96","cntfr"
"97","chrne"
"98","sypl2"
"99","cplx1"
"100","tm6sf1"
"101","adam11"
"102","trpc1"
"103","sncg"
"104","ybx3"
"105","kcna1"
"106","klhl41"
"107","ckb"
"108","apba2"
"109","vgll2"
"110","chrnd"
"111","cacnb3"
"112","ankrd13b"
"113","nr5a2"
"114","pcdh8"
"115","klhl40"
"116","syt4"
"117","pdlim3"
"118","scg2"
"119","lhx3"
"120","asb15"
"121","kcnb2"
"122","hnf4a"
"123","aldoc"
"124","scn1a"
"125","pitx1"
"126","rapsn"
"127","casq1"
"128","ric3"
"129","serpine1"
"130","tusc3"
"131","tgm2"
"132","tcea3"
"133","mef2a"
"134","gckr"
"135","ndrg1"
"136","chrna1.2"
"137","slc25a4"
"138","olfm2"
"139","matn2"
"140","gngt1"
"141","homer1"
"142","atp2b4"
"143","nexn"
"144","ppp1r1a"
"145","crabp1"
"146","atp1a3"
"147","trim72"
"148","slc25a12"
"149","gucy2c"
"150","eno1"
"151","c6.1"
"152","cnrip1"
"153","frmd5"
"154","ntrk2"
"155","tpm2"
"156","smpd3"
"157","unc45b"
"158","ctnna2"
"159","actc1"
"160","mybph"
"161","coro2b"
"162","fgf13"
"163","stmn3"
"164","nkx3-1"
"165","cntn4"
"166","atp1a2"
"167","nkain4"
"168","cfl2"
"169","cav3.2"
"170","cdk5r1"
"171","negr1"
"172","clstn3"
"173","tyrp1"
"174","nefm"
"175","svop"
"176","crmp1"
"177","bgn"
"178","galnt16"
"179","cbfa2t3"
"180","nrcam"
"181","cpt1b"
"182","tac1"
"183","sncb"
"184","bag3"
"185","apobec2"
"186","parp6"
"187","diras2"
"188","sfrp2"
"189","trim63"
"190","cap2"
"191","prdm12"
"192","olfm1"
"193","syp"
"194","osr2"
"195","six1"
"196","syn3"
"197","atoh7"
"198","nphs2"
"199","homer2"
"200","pax9"
"201","cacng1"
"202","pax7"
"203","l1cam"
"204","anxa6"
"205","olfml3"
"206","fhl5"
"207","ednrb"
"208","garem2"
"209","c6.2"
"210","edn3"
"211","inf2"
"212","slc17a7"
"213","hacd1"
"214","wnt11"
"215","mkx"
"216","plcb1"
"217","filip1"
"218","cacna1b"
"219","adssl1"
"220","epb41l3"
"221","bin1"
"222","ckmt1b"
"223","htr7"
"224","scnn1g"
"225","gria1"
"226","itgb1bp2"
"227","cav1"
"228","flnc"
"229","rph3a"
"230","tspan18"
"231","ywhag"
"232","grik5"
"233","rnf182"
"234","hoxb1"
"235","ptges3l"
"236","foxd2"
"237","spon2"
"238","ugt1a6"
"239","nptx1"
"240","nell2"
"241","nr2f2"
"242","sox18"
"243","pygm"
"244","cav2"
"245","hla-dqa1"
"246","rtn2"
"247","shisa2"
"248","elavl4"
"249","myh6"
"250","smyd1"
"251","eepd1"
"252","ndp"
"253","susd2"
"254","spon1"
"255","vamp2"
"256","irx5"
"257","angptl7"
"258","dct"
"259","sh2d3c"
"260","amph"
"261","lrrn1"
"262","cnmd"
"263","adhfe1"
"264","gpr85"
"265","sla2"
"266","slc2a4"
"267","pou3f4"
"268","ush1c"
"269","fez1"
"270","grip2"
"271","ambp"
"272","pea15"
"273","sez6l2"
"274","tubb3"
"275","celf3"
"276","unc93a"
"277","nrn1"
"278","nkx6-1"
"279","art1"
"280","otos"
"281","fbxl22"
"282","eno3"
"283","wnt9a"
"284","c8a"
"285","stxbp1"
"286","pzp"
"287","kank2"
"288","cacna1s"
"289","galnt13"
"290","plcd4"
"291","bmp6"
"292","klf7"
"293","hao1"
"294","kcnab3"
"295","ntn1"
"296","mef2c"
"297","tubb6"
"298","chrnb2"
"299","tyr"
"300","nkx2-2"
"301","krt5.6"
"302","wnt9b.2"
"303","shisa3"
"304","ebf2"
"305","adora1"
"306","rab6b"
"307","scg3"
"308","ehd2"
"309","celf2"
"310","rgs20"
"311","gng2"
"312","nefl"
"313","clcnkb"
"314","phyhipl"
"315","penk"
"316","evl"
"317","gata6"
"318","adgra2"
"319","satb2"
"320","nr2f1"
"321","epb41l1"
"322","nkx6-2"
"323","uroc1"
"324","map3k13"
"325","prkag1"
"326","entpd3"
"327","tmem161a"
"328","abhd8"
"329","ripply2.1"
"330","emp3"
"331","en1"
"332","col9a1"
"333","igf2"
"334","fgfbp1"
"335","elavl3"
"336","runx1t1"
"337","prkab2"
"338","matn4"
