"","x"
"1","slc25a10"
"2","cyp26c1"
"3","slc34a2"
"4","fgf20"
"5","msgn1"
"6","evx1"
"7","eomes"
"8","fgf3"
"9","hoxa13"
"10","il1b"
"11","clic6"
"12","gcm2"
"13","azin2"
"14","phgdh"
"15","tbxt"
"16","cyp26a1"
"17","apcdd1"
"18","krt24"
"19","dkk2"
"20","fgf4"
"21","dlx2"
"22","tf"
"23","fgf7"
"24","krt17"
"25","dio3"
"26","lrat"
"27","cbln1"
"28","tnfsf10"
"29","foxd4l1.1"
"30","fgf8"
"31","cib2"
"32","scd"
"33","st3gal2.2"
"34","krt16"
"35","hhipl2"
"36","tnip2"
"37","cyp26b1"
"38","slc5a8"
"39","lacc1"
"40","arhgef37"
"41","tbxa2r"
"42","grin1"
"43","epgn"
"44","etv4"
"45","tbx6"
"46","fam167b"
"47","kctd14"
"48","ptgs2"
"49","tll1"
"50","rasgef1a"
"51","rgs3"
"52","ppp1r14a"
"53","dck.1"
"54","kif21a"
"55","irs4"
"56","fam162a"
"57","stoml3"
"58","ass1"
"59","vgll1"
"60","ngf"
"61","bmp4"
"62","baiap2l1"
"63","bambi"
"64","cep170b"
"65","tprg1"
"66","eif1"
"67","wnt3a"
"68","scin"
"69","arhgap9"
"70","prdm1"
"71","nipal4"
"72","sp8"
"73","pmch"
"74","hes7.2"
"75","cyb5r2"
"76","hoxd1"
"77","cdx4"
"78","cdx2"
"79","kremen1"
"80","epha2"
"81","srsf6"
"82","fgf10"
"83","rarg"
"84","rab11fip1"
"85","phlda2"
"86","cdh3"
"87","cdc42se1"
"88","dhrs3"
"89","ets2"
"90","rcbtb1"
"91","sh3d21"
"92","ect2"
"93","dkk1"
"94","emx2"
"95","tll2"
"96","fam213a"
"97","ngfr"
"98","sp7"
"99","arsd"
"100","slfn13"
"101","sall3"
"102","wnt5b"
"103","iqgap2"
"104","bmp7.1"
"105","mkrn3"
"106","acsl4"
"107","slc6a14.2"
"108","clic3"
"109","tnf"
"110","nceh1"
"111","dlx5"
"112","smad6"
"113","nuak2"
"114","irf6"
"115","jag1"
"116","tmem184b"
"117","spry2"
"118","ppl"
"119","mmp11"
"120","pld6"
"121","tdrp"
"122","msx2"
"123","mapkapk3"
"124","mpzl2"
"125","crabp2"
"126","cfap299"
"127","gtsf1"
"128","khnyn"
"129","upk3a"
"130","sall1"
"131","spry1"
"132","dusp6"
"133","hip1r"
"134","rbm38"
"135","sgpp2"
"136","hes3.3"
"137","cln8"
"138","scel"
"139","rhof"
"140","pla2g4a"
"141","slc18a1"
"142","cxcl14"
"143","vdr"
"144","lbr"
"145","lima1"
"146","mboat1"
"147","cep57l1"
"148","spryd3"
"149","tmem159"
"150","rab27b"
"151","nos1"
"152","robo1"
"153","plcg1"
"154","pde4b"
"155","f2rl2"
"156","anxa3"
"157","adad2"
"158","msx1"
"159","axin2"
"160","sytl5"
"161","rbbp8"
"162","aplnr"
"163","evpl"
"164","vwa2"
"165","klf17"
"166","gmds"
"167","snx10"
"168","mex3b"
"169","vwde"
"170","rhbg"
"171","dlx3"
