"","x"
"1","c2orf70"
"2","lzts2"
"3","otx2"
"4","pga4"
"5","cps1"
"6","ccna1"
"7","ca2"
"8","il13ra2"
"9","tekt3"
"10","fam166b"
"11","atp6v1g3"
"12","g6pc2"
"13","atp6v0a4"
"14","gata1"
"15","smpx"
"16","slc26a4"
"17","atp6v1b1"
"18","ppp1r36"
"19","c4orf45"
"20","kcnmb3"
"21","odf3"
"22","dcdc2b"
"23","ppp1r32"
"24","lrrc18"
"25","ak1"
"26","spaca9"
"27","steap4"
"28","tm4sf18"
"29","pck1"
"30","hal.2"
"31","akr1c8p"
"32","dynlrb2"
"33","adprh"
"34","ubp1"
"35","efhc1"
"36","bbof1"
"37","tekt4"
"38","cyp2a6"
"39","nkx2-3"
"40","foxi1"
"41","hmx2"
"42","insrr"
"43","catip"
"44","pax5"
"45","cfap52"
"46","cfap70"
"47","ptpn6"
"48","pitx1"
"49","irx2"
"50","hrg"
"51","hmx3"
"52","ppil6"
"53","atp6v0d2"
"54","atp6ap1.1"
"55","dcdc2"
"56","cdkl2"
"57","spata18"
"58","hmbs.2"
"59","tekt2"
"60","ak7"
"61","spag6"
"62","cpt1b"
"63","tepp"
"64","tbc1d24.2"
"65","saxo2"
"66","tuba1a"
"67","irx4"
"68","rsph1"
"69","c1orf158"
"70","hao1"
"71","gckr"
"72","iqcd"
"73","morn3"
"74","cyp2j2"
"75","c2orf73"
"76","cfap126"
"77","aldh1a1"
"78","cyp2f1"
"79","csmd1"
"80","ccdc63"
"81","ttc29"
"82","fgfbp2"
"83","tex26"
"84","aadac"
"85","wnt9b.2"
"86","dnah9"
"87","armc4"
"88","lexm"
"89","slc7a2.1"
"90","cyp2b6"
"91","nme9"
"92","rarb"
"93","clcnkb"
"94","ankef1"
"95","otx1"
"96","irx1"
"97","cfap161"
"98","spa17"
"99","tdgf1.2"
"100","lrrc34"
"101","kit"
"102","dnal1"
"103","myoz2"
"104","hsd17b6"
"105","entpd5"
"106","dnali1"
"107","def6"
"108","meig1"
"109","selenop1"
"110","col6a1"
"111","cfap45"
"112","stkld1"
"113","enkur"
"114","tekt1"
"115","rsph3"
"116","acta1"
"117","dnai1"
"118","kcna3"
"119","grin2a"
"120","foxj1.2"
"121","st8sia2"
"122","gzmh"
"123","dnajb13"
"124","otc"
"125","blnk"
"126","tmem252"
"127","adal"
"128","map2"
"129","sox7"
"130","dmrta1"
"131","dstn"
"132","hspb7"
"133","etnppl"
"134","bnipl"
"135","ccdc78"
"136","pnck"
"137","elovl2"
"138","wdr78"
"139","agr2"
"140","mab21l3"
"141","cav2"
"142","lrrc69"
"143","ttr"
"144","asb9"
"145","stard9"
"146","serpinb4"
"147","rsph9"
"148","cyp17a1"
"149","fgl1"
"150","aldh1l1"
"151","cndp2"
"152","ca12"
"153","snx31"
"154","vil1"
"155","aaed1"
"156","tctex1d1"
"157","sfrp2"
"158","anxa1"
"159","gcgr"
"160","ndp"
"161","as3mt.2"
"162","cyp2c8.2"
"163","slc16a3"
"164","spef1"
"165","ces2"
"166","b4galnt1"
"167","hand2"
"168","fgfbp1"
"169","ccdc169"
"170","aldob"
"171","nme5"
"172","prss3"
"173","myb"
"174","eppk1"
"175","tspan1"
"176","agtpbp1"
"177","prr7"
"178","plekhb2"
"179","ces5a"
"180","fzd8"
"181","acad10"
"182","sdr16c5"
"183","drc1"
"184","igfbp2"
"185","mycbpap"
"186","hnmt"
"187","neurl1"
"188","lgr5"
"189","klf15"
"190","mmp28"
"191","c4orf47"
"192","celf5"
"193","casp8"
"194","ppp1r42"
"195","ahrr"
"196","wnt9a"
"197","tph1"
"198","calcoco2"
"199","efcab1"
"200","dusp22a"
"201","c11orf65"
"202","ropn1l"
"203","nmi"
"204","ttc25"
"205","tmem171"
"206","hcls1"
"207","cyb5d1"
"208","rnf152"
"209","cd74"
"210","c2orf40"
"211","rdh11"
"212","ddc"
"213","dusp14"
"214","adhfe1"
"215","sel1l3"
"216","mok"
"217","mib2"
"218","spef2"
"219","mreg"
"220","nqo1"
"221","foxo6"
"222","ighv3-74"
"223","col6a2"
"224","styxl1"
"225","slc25a24"
"226","hoxa1"
"227","tlr4"
"228","tsga10"
"229","c7orf57"
"230","pip5kl1"
"231","eno4"
"232","otoa"
"233","atp6v1e1"
"234","ogn"
"235","oat.2"
"236","fsip1"
"237","tmbim1"
"238","ttc21a"
"239","sh3gl2"
"240","cav1"
"241","vsnl1"
"242","stpg1"
"243","fam83a"
"244","agmat"
"245","mgst3"
"246","pde9a"
"247","masp2"
"248","gsto2"
"249","gsto1"
"250","rbp1"
"251","cyp4b1"
"252","got1"
"253","lum"
"254","rhobtb1"
"255","pc.1"
"256","ccdc113"
"257","cryl1"
"258","iqca1"
"259","crybb3"
"260","zfyve28"
"261","qprt"
"262","abhd14b"
"263","anxa9"
"264","siae"
"265","dnai2"
"266","ctbs"
"267","spata17"
"268","ankrd42"
"269","znf572"
"270","atp6v1h"
"271","acox2"
"272","ddt"
"273","camk1"
"274","sds"
"275","akr1c2"
"276","rab36"
"277","dydc1"
"278","tbc1d32"
"279","slc4a1"
"280","aire"
"281","arg1"
"282","morn2"
"283","med1"
"284","dnaaf4"
"285","oaf"
"286","tppp3"
"287","gnb3"
"288","sybu"
"289","glrx"
"290","mapk15"
"291","sytl4"
"292","tmem72"
"293","myocd"
"294","grhpr.1"
"295","erich3"
"296","pir"
"297","rab7b"
"298","nt5c2"
"299","cyp2e1"
"300","blvrb"
"301","slc2a12"
"302","slc40a1"
"303","pmm2"
"304","tmprss2"
"305","serpinc1"
"306","gas8"
"307","ano1"
"308","cyp46a1"
"309","grk6"
"310","txnrd1"
"311","cpped1"
"312","amdhd1"
"313","sdsl"
"314","cfap73"
"315","tmem82"
"316","cox5b.2"
"317","cdo1"
"318","gpnmb"
"319","ivd"
"320","slco2b1"
"321","angpt4"
"322","rerg"
"323","txn"
"324","rec8"
"325","dio1"
"326","trpm5"
"327","fbxo31"
"328","epas1"
"329","tp53i3"
"330","qdpr"
"331","gde1"
"332","nipsnap1"
"333","atp2c2"
"334","kcnip1"
"335","pld3"
"336","myo1d"
"337","rps16"
"338","ypel2"
"339","xpnpep2"
"340","lrtomt"
"341","tmem74b"
"342","ldhb"
"343","parp3"
"344","dhrs4"
"345","pygl"
"346","selenbp1"
"347","ppargc1a"
"348","glo1"
"349","gyg2"
"350","aco2"
"351","enpp4"
"352","phyh"
"353","rassf6"
"354","pebp1"
"355","rbm11"
"356","fam161a"
"357","spata6l"
"358","fbp1"
"359","ovos2"
"360","atp5s"
"361","wee2"
"362","ctss"
"363","tyro3"
"364","irx5"
"365","slc25a42"
"366","sema4b"
"367","fzd1"
"368","agtr1"
"369","atp12a"
"370","pck2"
"371","phlpp2"
"372","pou2f3"
"373","fam184a"
"374","apoe"
"375","nxpe4"
"376","acy1.1"
"377","tbcel"
"378","mcrip2"
"379","gng12"
"380","pyroxd2"
"381","sox21"
"382","naalad2"
"383","rcan1"
"384","dhx58"
"385","eps8"
"386","tc2n"
"387","rflna"
"388","uroc1"
"389","tmem8a"
"390","b3gnt7"
"391","atp1b4"
"392","gpt2"
"393","sycp2l"
"394","rab37"
"395","foxe1"
"396","pip4k2c"
"397","hebp1"
"398","ndrg3"
"399","manba"
"400","rogdi"
"401","tnni2"
"402","pla2g16"
"403","ap1g2"
"404","mak"
"405","appl2"
"406","pax7"
"407","aldh4a1"
"408","dennd2d"
"409","psph"
"410","nlrp3"
"411","gsta1"
"412","armh1"
"413","cdc14a"
"414","katnal2"
"415","ndrg2"
"416","ppp1r3c.2"
"417","gmpr2"
"418","dsc3"
"419","gapdh"
"420","fabp4"
"421","asah1"
"422","pex11g"
"423","nampt"
"424","mtus1"
"425","atp6v0b"
"426","slc19a3"
"427","fa2h"
"428","ppp1r13l"
"429","myrf"
"430","slc15a2"
"431","heca"
"432","sult6b1"
"433","cep41"
"434","anxa13"
"435","cyp4f22"
"436","klhl24"
"437","leng9"
"438","nt5c3a"
"439","prdx5"
"440","ociad2"
"441","meis2"
"442","mpst"
"443","nkx2-5"
"444","sesn3"
"445","lgals4.2"
"446","pycard"
