"","x"
"1","hoxd4"
"2","npr3"
"3","fgf7"
"4","zeb1"
"5","hoxd3"
"6","tmeff1"
"7","hoxd11"
"8","hoxa9"
"9","tyr"
"10","hoxc10"
"11","cdx4"
"12","tbx6"
"13","cdh2"
"14","hoxc12"
"15","cntfr"
"16","hoxc9"
"17","penk"
"18","cplx2"
"19","zic2"
"20","foxc2"
"21","sox10"
"22","fst"
"23","myf5"
"24","hoxb3"
"25","foxd4l1.1"
"26","hoxd10"
"27","hoxd8"
"28","hsp90aa1.1"
"29","fgf3"
"30","syt4"
"31","krt18"
"32","c1orf216"
"33","has2"
"34","meox2"
"35","wnt5b"
"36","rspo2"
"37","cntn1"
"38","foxd3"
"39","hoxb5"
"40","itga4"
"41","hes5.2"
"42","grem1"
"43","gdf10"
"44","lmo2"
"45","hes7.2"
"46","tubb3"
"47","cdh11"
"48","hoxa7"
"49","zeb2"
"50","tlx3"
"51","hoxa10"
"52","msgn1"
"53","ppp1r9b"
"54","itgb1bp2"
"55","zic3"
"56","tbxt"
"57","fgf8"
"58","sall3"
"59","robo2"
"60","cacng1"
"61","pdgfra"
"62","cnrip1"
"63","hoxb6"
"64","olfm1"
"65","hoxa11"
"66","six1"
"67","wnt11"
"68","vwde"
"69","stx1b"
"70","adam11"
"71","tcf15"
"72","vcan"
"73","elavl3"
"74","hoxb2"
"75","foxb1"
"76","fbln1"
"77","sox17a"
"78","hoxd9"
"79","foxc1"
"80","tnc"
"81","slc2a9"
"82","dach1"
"83","nrp1"
"84","zic4"
"85","ncam1"
"86","hoxd1"
"87","igfbpl1"
"88","hoxc8"
"89","sall1"
"90","zic5"
"91","wnt8a"
"92","cavin4"
"93","twist1"
"94","wt1"
"95","ednrb"
"96","slc45a2"
"97","neurod4"
"98","aanat"
"99","evx1"
"100","nova1"
"101","tyrp1"
"102","cplx1"
"103","cdx1"
"104","fabp3"
"105","zic1"
"106","ocm"
"107","tf"
"108","pvalb.2"
"109","tuba1b"
"110","phlda1"
"111","syp"
"112","mst1"
"113","snap25"
"114","mmp25"
"115","cacna1h"
"116","nid2"
"117","fgf9"
"118","rapgef3"
"119","hoxa13"
"120","cyp26c1"
"121","rab38"
"122","cadm3"
"123","fgf10"
"124","cldn5"
"125","nkx1-2"
"126","foxa2"
"127","fgf4"
"128","fam167b"
"129","sox8"
"130","tfap2e"
"131","dct"
"132","slit1"
"133","sh3bgrl"
"134","cbfa2t3"
"135","scnn1g"
"136","c7"
"137","krt24"
"138","neurog2"
"139","pax3"
"140","epha4"
"141","akap12"
"142","atp1a3"
"143","slc6a14.2"
"144","vim"
"145","cdx2"
"146","fam57b"
"147","kcnj8"
"148","fgf19"
"149","hnf1b"
"150","edar"
"151","hes5.1"
"152","zcchc14"
"153","prickle1"
"154","actc1"
"155","mfap2"
"156","cnfn.1"
"157","mynn"
"158","emilin2"
"159","cpn1"
"160","scn4b"
"161","gli1"
"162","scn1a"
"163","apba2"
"164","spock2"
"165","pcolce2"
"166","hoxb4"
"167","hs3st3a1"
"168","negr1"
"169","pth"
"170","myod1"
"171","foxg1"
"172","hcst"
"173","bicc1"
"174","pea15"
