




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	PANTHER version 13.1 Released 2018-02-03
Analyzed List:	Client Text Box Input (Xenopus tropicalis)
Reference List:	Xenopus tropicalis (all genes in database)
Test Type:	FISHER
PANTHER Pathways	Xenopus tropicalis - REFLIST (24177)	Client Text Box Input (116)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
TGF-beta signaling pathway (P00052)	107	7	.51	+	13.64	1.27E-06	1.02E-04
Unclassified (UNCLASSIFIED)	21448	84	102.91	-	.82	2.08E-06	1.11E-04
FGF signaling pathway (P00021)	149	8	.71	+	11.19	8.96E-07	1.43E-04
5HT3 type receptor mediated signaling pathway (P04375)	27	2	.13	+	15.44	8.44E-03	3.37E-01
5HT4 type receptor mediated signaling pathway (P04376)	34	2	.16	+	12.26	1.28E-02	4.10E-01
Cadherin signaling pathway (P00012)	140	3	.67	+	4.47	3.13E-02	4.55E-01
Alzheimer disease-presenilin pathway (P00004)	137	3	.66	+	4.56	2.96E-02	4.74E-01
Serine glycine biosynthesis (P02776)	5	1	.02	+	41.68	2.83E-02	5.03E-01
Ornithine degradation (P02758)	4	1	.02	+	52.11	2.37E-02	5.41E-01
5HT1 type receptor mediated signaling pathway (P04373)	44	2	.21	+	9.47	2.04E-02	5.44E-01
Oxidative stress response (P00046)	52	2	.25	+	8.02	2.75E-02	5.51E-01
Arginine biosynthesis (P02728)	8	1	.04	+	26.05	4.22E-02	5.62E-01
Gonadotropin-releasing hormone receptor pathway (P06664)	294	4	1.41	+	2.84	5.48E-02	6.74E-01
CCKR signaling map (P06959)	191	3	.92	+	3.27	6.61E-02	7.55E-01
Adrenaline and noradrenaline biosynthesis (P00001)	93	2	.45	+	4.48	7.58E-02	7.58E-01
Angiogenesis (P00005)	209	3	1.00	+	2.99	8.13E-02	7.65E-01
Wnt signaling pathway (P00057)	325	4	1.56	+	2.57	7.31E-02	7.80E-01
5HT2 type receptor mediated signaling pathway (P04374)	115	2	.55	+	3.62	1.08E-01	9.58E-01
Blood coagulation (P00011)	63	0	.30	-	 < 0.01	1.00E00	1.00E00
Interleukin signaling pathway (P00036)	78	0	.37	-	 < 0.01	1.00E00	1.01E00
Endothelin signaling pathway (P00019)	123	2	.59	+	3.39	1.20E-01	1.01E00
Thyrotropin-releasing hormone receptor signaling pathway (P04394)	92	0	.44	-	 < 0.01	1.00E00	1.01E00
