




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Xenopus tropicalis)
Reference List:	Xenopus tropicalis (all genes in database)
Test Type:	FISHER
GO biological process complete	Xenopus tropicalis - REFLIST (24177)	upload_1 (639)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
pancreatic A cell differentiation (GO:0003310)	5	5	.13	+	37.84	2.52E-06	1.59E-04
fourth ventricle development (GO:0021592)	4	3	.11	+	28.38	5.50E-04	1.59E-02
positive regulation of syncytium formation by plasma membrane fusion (GO:0060143)	4	3	.11	+	28.38	5.50E-04	1.59E-02
regulation of syncytium formation by plasma membrane fusion (GO:0060142)	4	3	.11	+	28.38	5.50E-04	1.58E-02
positive regulation of myotube differentiation (GO:0010831)	4	3	.11	+	28.38	5.50E-04	1.57E-02
positive regulation of skeletal muscle fiber development (GO:0048743)	4	3	.11	+	28.38	5.50E-04	1.57E-02
positive regulation of myoblast fusion (GO:1901741)	4	3	.11	+	28.38	5.50E-04	1.56E-02
positive regulation of skeletal muscle tissue development (GO:0048643)	4	3	.11	+	28.38	5.50E-04	1.56E-02
regulation of myoblast fusion (GO:1901739)	4	3	.11	+	28.38	5.50E-04	1.55E-02
regulation of myotube differentiation (GO:0010830)	6	4	.16	+	25.22	8.08E-05	3.21E-03
positive regulation of muscle tissue development (GO:1901863)	5	3	.13	+	22.70	8.64E-04	2.19E-02
regulation of skeletal muscle fiber development (GO:0048742)	5	3	.13	+	22.70	8.64E-04	2.18E-02
positive regulation of muscle organ development (GO:0048636)	5	3	.13	+	22.70	8.64E-04	2.18E-02
positive regulation of striated muscle tissue development (GO:0045844)	5	3	.13	+	22.70	8.64E-04	2.17E-02
positive regulation of striated muscle cell differentiation (GO:0051155)	5	3	.13	+	22.70	8.64E-04	2.16E-02
positive regulation of muscle cell differentiation (GO:0051149)	5	3	.13	+	22.70	8.64E-04	2.15E-02
skeletal muscle cell differentiation (GO:0035914)	10	6	.26	+	22.70	1.83E-06	1.24E-04
cardiac muscle contraction (GO:0060048)	7	4	.19	+	21.62	1.24E-04	4.64E-03
regulation of striated muscle cell differentiation (GO:0051153)	7	4	.19	+	21.62	1.24E-04	4.61E-03
regulation of muscle cell differentiation (GO:0051147)	7	4	.19	+	21.62	1.24E-04	4.59E-03
positive regulation of myoblast differentiation (GO:0045663)	7	4	.19	+	21.62	1.24E-04	4.57E-03
regulation of myoblast differentiation (GO:0045661)	9	5	.24	+	21.02	1.84E-05	8.87E-04
glandular epithelial cell differentiation (GO:0002067)	14	7	.37	+	18.92	6.17E-07	4.89E-05
regulation of skeletal muscle tissue development (GO:0048641)	8	4	.21	+	18.92	1.83E-04	6.39E-03
skeletal muscle contraction (GO:0003009)	8	4	.21	+	18.92	1.83E-04	6.36E-03
enteroendocrine cell differentiation (GO:0035883)	14	7	.37	+	18.92	6.17E-07	4.84E-05
ventricular system development (GO:0021591)	6	3	.16	+	18.92	1.27E-03	2.99E-02
type B pancreatic cell differentiation (GO:0003309)	13	6	.34	+	17.46	5.80E-06	3.27E-04
membrane raft assembly (GO:0001765)	7	3	.19	+	16.22	1.78E-03	3.98E-02
plasma membrane raft organization (GO:0044857)	7	3	.19	+	16.22	1.78E-03	3.97E-02
plasma membrane raft assembly (GO:0044854)	7	3	.19	+	16.22	1.78E-03	3.96E-02
palate development (GO:0060021)	7	3	.19	+	16.22	1.78E-03	3.95E-02
caveola assembly (GO:0070836)	7	3	.19	+	16.22	1.78E-03	3.94E-02
musculoskeletal movement (GO:0050881)	10	4	.26	+	15.13	3.55E-04	1.12E-02
multicellular organismal movement (GO:0050879)	10	4	.26	+	15.13	3.55E-04	1.12E-02
regulation of muscle organ development (GO:0048634)	15	6	.40	+	15.13	1.11E-05	5.73E-04
response to nicotine (GO:0035094)	13	5	.34	+	14.55	7.23E-05	2.93E-03
striated muscle contraction (GO:0006941)	21	8	.56	+	14.41	4.92E-07	3.95E-05
spinal cord motor neuron differentiation (GO:0021522)	11	4	.29	+	13.76	4.74E-04	1.42E-02
striated muscle myosin thick filament assembly (GO:0071688)	11	4	.29	+	13.76	4.74E-04	1.42E-02
myosin filament assembly (GO:0031034)	11	4	.29	+	13.76	4.74E-04	1.41E-02
