




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Xenopus tropicalis)
Reference List:	Xenopus tropicalis (all genes in database)
Test Type:	FISHER
GO biological process complete	Xenopus tropicalis - REFLIST (24177)	upload_1 (116)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
rhombomere development (GO:0021546)	3	2	.01	+	 > 100	2.24E-04	1.50E-02
vestibular receptor cell development (GO:0060118)	3	2	.01	+	 > 100	2.24E-04	1.49E-02
vestibular receptor cell differentiation (GO:0060114)	3	2	.01	+	 > 100	2.24E-04	1.48E-02
regulation of endodermal cell fate specification (GO:0042663)	3	2	.01	+	 > 100	2.24E-04	1.46E-02
embryonic medial fin morphogenesis (GO:0035122)	3	2	.01	+	 > 100	2.24E-04	1.45E-02
regulation of cell fate specification (GO:0042659)	4	2	.02	+	 > 100	3.35E-04	1.93E-02
regulation of endodermal cell differentiation (GO:1903224)	4	2	.02	+	 > 100	3.35E-04	1.92E-02
regulation of cell fate commitment (GO:0010453)	4	2	.02	+	 > 100	3.35E-04	1.90E-02
positive regulation of BMP signaling pathway (GO:0030513)	8	3	.04	+	78.16	1.70E-05	1.67E-03
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	8	3	.04	+	78.16	1.70E-05	1.65E-03
post-anal tail morphogenesis (GO:0036342)	8	3	.04	+	78.16	1.70E-05	1.63E-03
aminergic neurotransmitter loading into synaptic vesicle (GO:0015842)	6	2	.03	+	69.47	6.21E-04	3.25E-02
amine transport (GO:0015837)	6	2	.03	+	69.47	6.21E-04	3.23E-02
regulation of fibroblast growth factor receptor signaling pathway (GO:0040036)	9	3	.04	+	69.47	2.26E-05	2.06E-03
neurotransmitter loading into synaptic vesicle (GO:0098700)	6	2	.03	+	69.47	6.21E-04	3.21E-02
serotonin transport (GO:0006837)	7	2	.03	+	59.55	7.96E-04	3.97E-02
medial fin morphogenesis (GO:0035141)	7	2	.03	+	59.55	7.96E-04	3.94E-02
determination of ventral identity (GO:0048264)	7	2	.03	+	59.55	7.96E-04	3.92E-02
epidermal cell differentiation (GO:0009913)	19	4	.09	+	43.88	4.07E-06	4.56E-04
fibroblast growth factor receptor signaling pathway (GO:0008543)	29	6	.14	+	43.12	1.51E-08	4.84E-06
response to fibroblast growth factor (GO:0071774)	30	6	.14	+	41.68	1.80E-08	5.32E-06
hair cell differentiation (GO:0035315)	15	3	.07	+	41.68	8.22E-05	6.31E-03
embryonic appendage morphogenesis (GO:0035113)	15	3	.07	+	41.68	8.22E-05	6.25E-03
cellular response to fibroblast growth factor stimulus (GO:0044344)	30	6	.14	+	41.68	1.80E-08	5.12E-06
embryonic pattern specification (GO:0009880)	22	4	.11	+	37.89	6.80E-06	7.38E-04
lateral line development (GO:0048882)	28	5	.13	+	37.22	4.85E-07	7.46E-05
neuromast development (GO:0048884)	23	4	.11	+	36.25	7.96E-06	8.27E-04
mesoderm formation (GO:0001707)	24	4	.12	+	34.74	9.25E-06	9.48E-04
mechanoreceptor differentiation (GO:0042490)	18	3	.09	+	34.74	1.33E-04	9.40E-03
lateral line system development (GO:0048925)	30	5	.14	+	34.74	6.59E-07	9.35E-05
sensory system development (GO:0048880)	30	5	.14	+	34.74	6.59E-07	9.17E-05
regulation of ERK1 and ERK2 cascade (GO:0070372)	18	3	.09	+	34.74	1.33E-04	9.31E-03
epidermis development (GO:0008544)	25	4	.12	+	33.35	1.07E-05	1.08E-03
mesoderm morphogenesis (GO:0048332)	26	4	.12	+	32.06	1.23E-05	1.23E-03
dorsal/ventral pattern formation (GO:0009953)	47	7	.23	+	31.04	6.93E-09	2.69E-06
fin morphogenesis (GO:0033334)	22	3	.11	+	28.42	2.26E-04	1.45E-02
positive regulation of Wnt signaling pathway (GO:0030177)	22	3	.11	+	28.42	2.26E-04	1.44E-02
cell fate specification (GO:0001708)	24	3	.12	+	26.05	2.85E-04	1.73E-02
appendage morphogenesis (GO:0035107)	24	3	.12	+	26.05	2.85E-04	1.71E-02
negative regulation of MAPK cascade (GO:0043409)	24	3	.12	+	26.05	2.85E-04	1.70E-02
formation of primary germ layer (GO:0001704)	32	4	.15	+	26.05	2.58E-05	2.30E-03
sterol metabolic process (GO:0016125)	36	4	.17	+	23.16	3.95E-05	3.35E-03
fin development (GO:0033333)	38	4	.18	+	21.94	4.80E-05	4.03E-03
regulation of cellular response to growth factor stimulus (GO:0090287)	68	7	.33	+	21.46	7.16E-08	1.60E-05
regionalization (GO:0003002)	121	12	.58	+	20.67	1.86E-12	1.96E-09
anterior/posterior pattern specification (GO:0009952)	71	7	.34	+	20.55	9.41E-08	1.98E-05
mesoderm development (GO:0007498)	51	5	.24	+	20.43	7.16E-06	7.66E-04
cellular response to growth factor stimulus (GO:0071363)	92	9	.44	+	20.39	1.36E-09	7.18E-07
appendage development (GO:0048736)	41	4	.20	+	20.33	6.32E-05	5.18E-03
regulation of BMP signaling pathway (GO:0030510)	31	3	.15	+	20.17	5.70E-04	3.00E-02
response to growth factor (GO:0070848)	93	9	.45	+	20.17	1.49E-09	7.32E-07
regulation of Wnt signaling pathway (GO:0030111)	73	7	.35	+	19.99	1.12E-07	2.24E-05
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	42	4	.20	+	19.85	6.90E-05	5.59E-03
negative regulation of Wnt signaling pathway (GO:0030178)	33	3	.16	+	18.95	6.75E-04	3.41E-02
cell fate commitment (GO:0045165)	63	5	.30	+	16.54	1.87E-05	1.77E-03
hormone metabolic process (GO:0042445)	38	3	.18	+	16.45	9.91E-04	4.78E-02
epithelial cell differentiation (GO:0030855)	80	6	.38	+	15.63	3.58E-06	4.20E-04
steroid metabolic process (GO:0008202)	57	4	.27	+	14.63	2.09E-04	1.41E-02
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	73	5	.35	+	14.28	3.64E-05	3.16E-03
