UniProtKB=Q5U4Y2	cfl2	Cofilin-2;cfl2;ortholog	COFILIN-2 (PTHR11913:SF15)	non-motor actin binding protein(PC00165)	
UniProtKB=F6W3Y0	pak3	P21 protein (Cdc42/Rac)-activated kinase 3;pak3;ortholog	SERINE/THREONINE-PROTEIN KINASE PAK 3 (PTHR24361:SF250)		
UniProtKB=Q6P367	tubb2b	Tubulin beta chain;tubb2b;ortholog	TUBULIN BETA-2B CHAIN (PTHR11588:SF138)	tubulin(PC00228)	
UniProtKB=F6Q7Z6	tubb3	Uncharacterized protein (Fragment);tubb3;ortholog	TUBULIN BETA-2B CHAIN (PTHR11588:SF138)	tubulin(PC00228)	
UniProtKB=Q6P640	actc1	Actin, alpha cardiac muscle 1;actc1;ortholog	ACTIN, ALPHA CARDIAC MUSCLE 1 (PTHR11937:SF176)	actin and actin related protein(PC00039)	
UniProtKB=F6V1N0	evl	Uncharacterized protein;evl;ortholog	ENA/VASP-LIKE PROTEIN (PTHR11202:SF4)		
UniProtKB=F6XII2	enah	Uncharacterized protein (Fragment);enah;ortholog	PROTEIN ENABLED HOMOLOG (PTHR11202:SF1)		
UniProtKB=Q5M8T9	acta2	Actin, alpha 2, smooth muscle, aorta;acta2;ortholog	ACTIN, GAMMA-ENTERIC SMOOTH MUSCLE (PTHR11937:SF227)	actin and actin related protein(PC00039)	
UniProtKB=L7N3Q3	tubb6	Tubulin beta chain;tubb6;ortholog	TUBULIN BETA-6 CHAIN (PTHR11588:SF88)	tubulin(PC00228)	
