UniProtKB=F6YT71	tuba1b	Tubulin alpha chain;tuba1b;ortholog	TUBULIN ALPHA-1A CHAIN (PTHR11588:SF133)	tubulin(PC00228)	
UniProtKB=F6VV27	fst	Uncharacterized protein;fst;ortholog	FOLLISTATIN (PTHR10913:SF6)	protease inhibitor(PC00191)	
UniProtKB=Q6NVL6	ldb1	LIM domain-binding protein 1;ldb1;ortholog	LIM DOMAIN-BINDING PROTEIN 1 (PTHR10378:SF7)	transcription cofactor(PC00217)	
UniProtKB=F7C212	gnao1	Uncharacterized protein;gnao1;ortholog	GUANINE NUCLEOTIDE-BINDING PROTEIN G(O) SUBUNIT ALPHA (PTHR10218:SF293)	heterotrimeric G-protein(PC00117)	
UniProtKB=F7BDV9	nos1	Nitric oxide synthase;nos1;ortholog	NITRIC OXIDE SYNTHASE, BRAIN (PTHR19384:SF63)		
UniProtKB=F7B4P6	per1	Uncharacterized protein (Fragment);per1;ortholog	PERIOD CIRCADIAN PROTEIN HOMOLOG 1 (PTHR11269:SF8)	transcription cofactor(PC00217)	
UniProtKB=Q6GL68	tcf3	Transcription factor 7-like 1;tcf7l1;ortholog	TRANSCRIPTION FACTOR 7-LIKE 1 (PTHR10373:SF25)		
UniProtKB=F6VHF7	itpr1	Inositol 1,4,5-trisphosphate receptor, type 1;itpr1;ortholog	INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1 (PTHR13715:SF52)	ligand-gated ion channel(PC00141)	
UniProtKB=F7EI91	fos	Uncharacterized protein (Fragment);fos;ortholog	PROTO-ONCOGENE C-FOS (PTHR23351:SF4)	basic leucine zipper transcription factor(PC00056)	
UniProtKB=F6QN52	nfya	Uncharacterized protein;nfya;ortholog	NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT ALPHA (PTHR12632:SF6)	nucleic acid binding(PC00171);transcription factor(PC00218)	
UniProtKB=F7BRW9	tcf7	Uncharacterized protein;tcf7;ortholog	TRANSCRIPTION FACTOR 7 (PTHR10373:SF33)		
UniProtKB=F6QA46	creb1	Uncharacterized protein;creb1;ortholog	CYCLIC AMP-RESPONSIVE ELEMENT-BINDING PROTEIN 1 (PTHR45879:SF1)		
UniProtKB=Q28FH0	gnaq	Guanine nucleotide binding protein (G protein), q polypeptide;gnaq;ortholog	GUANINE NUCLEOTIDE-BINDING PROTEIN G(Q) SUBUNIT ALPHA (PTHR10218:SF302)	heterotrimeric G-protein(PC00117)	
UniProtKB=F7ES29	zeb1	Uncharacterized protein (Fragment);zeb1;ortholog	ZINC FINGER E-BOX-BINDING HOMEOBOX 1 (PTHR24391:SF17)	KRAB box transcription factor(PC00029)	
UniProtKB=F6U272	tgfb1	Transforming growth factor beta 1;tgfb1;ortholog	TRANSFORMING GROWTH FACTOR BETA-1 (PTHR11848:SF125)	growth factor(PC00112)	
UniProtKB=F6QWD3	igf1r	Tyrosine-protein kinase receptor;igf1r;ortholog	INSULIN-LIKE GROWTH FACTOR 1 RECEPTOR (PTHR24416:SF106)		
UniProtKB=Q28BL7	pou2f1	POU domain, class 2, transcription factor 1;pou2f1;ortholog	POU DOMAIN, CLASS 2, TRANSCRIPTION FACTOR 1 (PTHR11636:SF47)		
UniProtKB=F6XDD6	irs1	Insulin receptor substrate 1;irs1;ortholog	INSULIN RECEPTOR SUBSTRATE 1 (PTHR10614:SF11)		
UniProtKB=F6TXB5	bmpr1a	Receptor protein serine/threonine kinase;bmpr1a;ortholog	BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE-1B (PTHR23255:SF62)	TGF-beta receptor(PC00035);serine/threonine protein kinase receptor(PC00205)	
UniProtKB=A4II20	egr1	Early growth response protein 1;egr1;ortholog	EARLY GROWTH RESPONSE PROTEIN 1 (PTHR23235:SF42)	DNA binding protein(PC00009);transcription cofactor(PC00217);zinc finger transcription factor(PC00244)	
UniProtKB=Q6P4Y6	irs1	Insulin receptor substrate 1;irs1;ortholog	INSULIN RECEPTOR SUBSTRATE 1 (PTHR10614:SF11)		
UniProtKB=F6ZYQ1	tgfb2	Transforming growth factor beta 2;tgfb2;ortholog	TRANSFORMING GROWTH FACTOR BETA-2 (PTHR11848:SF141)	growth factor(PC00112)	
UniProtKB=Q6DF43	gng2	Guanine nucleotide-binding protein subunit gamma;gng2;ortholog	GUANINE NUCLEOTIDE-BINDING PROTEIN G(I)/G(S)/G(O) SUBUNIT GAMMA-2 (PTHR13809:SF25)	heterotrimeric G-protein(PC00117)	
UniProtKB=F6VKS6	syt4	Uncharacterized protein (Fragment);syt4;ortholog	SYNAPTOTAGMIN-4 (PTHR10024:SF114)	membrane trafficking regulatory protein(PC00151)	
UniProtKB=F6WNJ9	gnai2	Uncharacterized protein;gnai2;ortholog	GUANINE NUCLEOTIDE-BINDING PROTEIN G(I) SUBUNIT ALPHA-2 (PTHR10218:SF73)	heterotrimeric G-protein(PC00117)	
UniProtKB=F6W6W6	nfyb	Nuclear transcription factor Y subunit beta;nfyb;ortholog	NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT BETA (PTHR11064:SF9)		
UniProtKB=F7BI24	map3k12	Mitogen-activated protein kinase kinase kinase 12;map3k12;ortholog	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 12 (PTHR44329:SF17)		
UniProtKB=F6W9U4	ar	Androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease);ar;ortholog	ANDROGEN RECEPTOR (PTHR24084:SF6)	C4 zinc finger nuclear receptor(PC00169);nucleic acid binding(PC00171);receptor(PC00197)	
UniProtKB=F6X7M7	mmp14	Uncharacterized protein;mmp14;ortholog	MATRIX METALLOPROTEINASE-14 (PTHR10201:SF24)	metalloprotease(PC00153)	
UniProtKB=Q0V9W5	scg2	Secretogranin II;scg2;ortholog	SECRETOGRANIN-2 (PTHR15119:SF0)		
