UniProtKB=F6YT71	tuba1b	Tubulin alpha chain;tuba1b;ortholog	TUBULIN ALPHA-1A CHAIN (PTHR11588:SF133)	tubulin(PC00228)	
UniProtKB=F7AFE7	isl1	ISL LIM homeobox 1;isl1;ortholog	INSULIN GENE ENHANCER PROTEIN ISL-1 (PTHR24204:SF4)	homeodomain transcription factor(PC00119);nucleic acid binding(PC00171);zinc finger transcription factor(PC00244)	
UniProtKB=F6VV27	fst	Uncharacterized protein;fst;ortholog	FOLLISTATIN (PTHR10913:SF6)	protease inhibitor(PC00191)	
UniProtKB=F7ACX9	camk2b	Uncharacterized protein (Fragment);camk2b;ortholog	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT BETA (PTHR24347:SF403)		
UniProtKB=Q68FA6	pitx1	Homeobox protein;pitx1;ortholog	PITUITARY HOMEOBOX 1 (PTHR45882:SF1)		
UniProtKB=A9JTV9	bmp6	Bmp6 protein;bmp6;ortholog	BONE MORPHOGENETIC PROTEIN 6 (PTHR11848:SF137)	growth factor(PC00112)	
UniProtKB=F6SLM7	cacna1s	Calcium channel, voltage-dependent, L type, alpha 1S subunit;cacna1s;ortholog	VOLTAGE-DEPENDENT L-TYPE CALCIUM CHANNEL SUBUNIT ALPHA-1S (PTHR45628:SF9)		
UniProtKB=F6ZCE6	jund	Jun D proto-oncogene;jund;ortholog	TRANSCRIPTION FACTOR JUN-D (PTHR11462:SF7)	basic leucine zipper transcription factor(PC00056);nucleic acid binding(PC00171)	
UniProtKB=Q2QLF5	cav1	Caveolin;CAV1;ortholog	CAVEOLIN-1 (PTHR10844:SF18)	G-protein modulator(PC00022);membrane traffic protein(PC00150);structural protein(PC00211);transmembrane receptor regulatory/adaptor protein(PC00226)	
UniProtKB=F6ZYQ1	tgfb2	Transforming growth factor beta 2;tgfb2;ortholog	TRANSFORMING GROWTH FACTOR BETA-2 (PTHR11848:SF141)	growth factor(PC00112)	
UniProtKB=F7BXX1	srf	Serum response factor;srf;ortholog	SERUM RESPONSE FACTOR (PTHR11945:SF221)	MADS box transcription factor(PC00250)	
UniProtKB=A9JSV8	prkab2	LOC100127782 protein;prkab2;ortholog	5'-AMP-ACTIVATED PROTEIN KINASE SUBUNIT BETA-2 (PTHR10343:SF83)	kinase modulator(PC00140)	
UniProtKB=Q6DF43	gng2	Guanine nucleotide-binding protein subunit gamma;gng2;ortholog	GUANINE NUCLEOTIDE-BINDING PROTEIN G(I)/G(S)/G(O) SUBUNIT GAMMA-2 (PTHR13809:SF25)	heterotrimeric G-protein(PC00117)	
UniProtKB=F7BGK4	plcb1	Phosphoinositide phospholipase C;plcb1;ortholog	1-PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE PHOSPHODIESTERASE BETA-1 (PTHR10336:SF12)	calcium-binding protein(PC00060);guanyl-nucleotide exchange factor(PC00113);phospholipase(PC00186);signaling molecule(PC00207)	
UniProtKB=F7BQB0	map3k13	Mitogen-activated protein kinase kinase kinase;map3k13;ortholog	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 13 (PTHR44329:SF14)		
UniProtKB=F6VKS6	syt4	Uncharacterized protein (Fragment);syt4;ortholog	SYNAPTOTAGMIN-4 (PTHR10024:SF114)	membrane trafficking regulatory protein(PC00151)	
UniProtKB=F7BI24	map3k12	Mitogen-activated protein kinase kinase kinase 12;map3k12;ortholog	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 12 (PTHR44329:SF17)		
UniProtKB=F6TAZ5	prkag1	Uncharacterized protein;prkag1;ortholog	5'-AMP-ACTIVATED PROTEIN KINASE SUBUNIT GAMMA-2 (PTHR13780:SF35)	kinase modulator(PC00140)	
UniProtKB=F7EBM1	adipoq	Uncharacterized protein (Fragment);adipoq;ortholog	ADIPONECTIN (PTHR15427:SF20)		
UniProtKB=Q0V9W5	scg2	Secretogranin II;scg2;ortholog	SECRETOGRANIN-2 (PTHR15119:SF0)		
